,Dzień Znalezienia,Numer Pociągu,Relacja Pociągu,Stacja Znalezienia,Rodzaj Rzeczy
42,2025-01-14,1808,Suwałki - Szczecin Gł.,Szczecin Główny,Rzeczy Osobiste
43,2025-01-14,71002,Berlin - Warszawa Wsch.,Warszawa Olszynka Grochowska,Sprzęt Elektroniczny
44,2025-01-14,3528,Kraków Gł. - Olsztyn Gł.,Olsztyn Główny,Sprzęt Elektroniczny
45,2025-01-14,5402,Gdynia Gł. - Bielsko-Biała Gł.,Bielsko-Biała Główna,Ubranie
46,2025-01-14,81170,Świnoujście - Warszawa Wsch.,Łowicz Główny,Walizka / Plecak
47,2025-01-14,5406,Gdynia Gł. - Bielsko-Biała Gł.,Bielsko-Biała Główna,Ubranie
48,2025-01-14,461,Gdynia Gł. - Praha Hl. N.,Żmigród,Rzeczy Osobiste
49,2025-01-14,41005,Budapeszt-Warszawa,Warszaw Olszynka Grochowska,Sprzęt Elektroniczny
50,2025-01-14,6134,Wrocław Gł. - Warszawa Wsch.,Warszawa Wschodnia,Artykuły Biurowe
51,2025-01-14,5104,Gdynia Gł. - Warszawa Zach.,Warszawa Centralna,Walizka / Plecak
52,2025-01-14,61191,Jelenia Góra-Warszawa,Warszaw Olszynka Grochowska,Sprzęt Elektroniczny
53,2025-01-14,75102,Poznań Gł. - Olsztyn Gł.,Olsztyn Główny,Rzeczy Osobiste
54,2025-01-14,1808,Suwałki - Szczecin Gł.,Szczecin Główny,Sprzęt Elektroniczny
55,2025-01-14,5224,Bydgoszcz Gł. - Lublin Gł.,Lublin Główny,Walizka / Plecak
56,2025-01-14,3534,Kraków - Bydgoszcz,Bydgoszcz Główna,Sprzęt Agd
57,2025-01-14,5360,Gdynia Gł. - Zakopane,Kutno,Ubranie
58,2025-01-14,18114,Łódź Fabryczna - Kołobrzeg,Lębork,Reklamówka / Torba
59,2025-01-14,4504,Bielsko-Biała Gł. - Gdynia Gł.,Gdynia Główna,Dokument/Y
60,2025-01-14,264,Praha Hl. N. - Gdynia Gł.,Inowrocław,Reklamówka / Torba
61,2025-01-14,3812,Przemyśl Gł. - Ustka,Koszalin,Walizka / Plecak
62,2025-01-14,18114,Łódź Fabryczna - Kołobrzeg,Warszawa Wschodnia,Reklamówka / Torba
63,2025-01-14,18114,Łódź Fabryczna - Kołobrzeg,Koszalin,Walizka / Plecak
64,2025-01-14,83100,Świnoujście - Rzeszów Główny,Rzeszów Główny,Walizka / Plecak
65,2025-01-14,1612,Warszawa Wsch. - Wrocław Gł.,Leszno,Telefon
66,2025-01-14,83102,Kołobrzeg - Rzeszów Główny,Warszawa Wschodnia,Reklamówka / Torba
67,2025-01-14,5326,Olsztyn Główny - Kraków Główny,Kraków Główny,Reklamówka / Torba
68,2025-01-14,17102,Warszawa Wsch. - Zielona Góra Gł.,Zielona Góra Główna,Sprzęt Elektroniczny
69,2025-01-14,110,Warszawa Wsch. - Bohumin,Katowice,Ubranie
70,2025-01-14,3528,Kraków Gł. - Olsztyn Gł.,Olsztyn Główny,Ubranie
71,2025-01-14,3804,Kraków Gł. - Kołobrzeg,Szczecinek,Słuchawki
72,2025-01-14,IC 1000,Łódż Fab. -Białystok,Białystok,Sprzęt Elektroniczny
73,2025-01-13,24101,Kielce Główne - Gliwice,Kielce Główne,Pieniądze
74,2025-01-13,14100,Warszawa Wsch. - Gliwice,Gliwice,Sprzęt Elektroniczny
75,2025-01-13,13104,Warszawa Wsch. - Przemyśl Gł.,Przemyśl Główny,Sprzęt Sportowy
76,2025-01-13,4122,Bielsko-Biała Gł. - Warszawa Wsch.,Częstochowa,Sprzęt Elektroniczny
77,2025-01-13,1500,Warszawa Zach. - Gdynia Gł.,Gdynia Główna,Ubranie
78,2025-01-13,407,Warszawa Wsch. - München Hbf,Oświęcim,Dokument/Y
79,2025-01-13,83104,Piła Gł. - Rzeszów Główny,Puławy Miasto,Telefon
80,2025-01-13,84100,Słupsk - Katowice,Katowice,Sprzęt Elektroniczny
81,2025-01-13,37104,Przemyśl Gł. - Zielona Góra Gł.,Zielona Góra Główna,Ubranie
82,2025-01-13,73005,Berlin Hbf - Kraków Główny,Kraków Główny,Etui
83,2025-01-13,83171,Kołobrzeg - Kraków Główny,Kraków Główny,Ubranie
84,2025-01-13,17102,Warszawa Wsch. - Zielona Góra Gł.,Zielona Góra Główna,Ubranie
85,2025-01-13,3820,Kraków Gł. - Szczecin Gł.,Szczecin Główny,Walizka / Plecak
86,2025-01-13,1620,Warszawa Wsch. - Wrocław Gł.,Wrocław Główny,Walizka / Plecak
87,2025-01-13,8109,Szczecin Gł. - Suwałki,Białystok,Reklamówka / Torba
88,2025-01-13,45100,Bielsko-Biała Gł. - Gdynia Gł.,Gdynia Główna,Etui
89,2025-01-13,2720,Lublin Gł. - Poznań Gł.,Pabianice,Walizka / Plecak
90,2025-01-13,63102,Jelenia Góra - Kraków Główny,Kraków Główny,Artykuły Medyczne
91,2025-01-13,78101,Zbąszynek - Gorzów Wlkp.,Gorzów Wielkopolski,Dokument/Y
92,2025-01-13,5332,Olsztyn Główny- Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
93,2025-01-13,83170,Kołobrzeg - Kraków Gł.,Radom Główny,Walizka / Plecak
95,2025-01-13,65102,Wrocław Gł. - Olsztyn Gł.,Kościan,Telefon
96,2025-01-13,31100,Zakopane - Warszawa Wsch.,Zakopane,Sprzęt Agd
97,2025-01-13,73002,Frankfurt-Przemyśl.Gł,Przemyśl Bakończyce,Sprzęt Elektroniczny
98,2025-01-13,58102,Olsztyn Gł. - Szczecin Gł.,Szczecin Główny,Ubranie
99,2025-01-13,8300,Kołobrzeg - Kraków Główny,Kraków Główny,Ubranie
100,2025-01-13,91134,Łódź Fabryczna - Warszawa Wsch.,Łódź Fabryczna,Telefon
101,2025-01-13,4522,Katowice - Gdynia Gł.,Gdynia Główna,Ubranie
102,2025-01-13,48100,Katowice - Ustka,Białogard,Reklamówka / Torba
103,2025-01-13,1810,Warszawa Wsch. - Szczecin Gł.,Szczecin Główny,Sprzęt Elektroniczny
104,2025-01-13,58104,Olsztyn Gł. - Szczecin Gł.,Szczecin Główny,Walizka / Plecak
105,2025-01-13,57100,Olsztyn Gł. - Poznań Gł.,Inowrocław,Sprzęt Elektroniczny
106,2025-01-13,38100,Rzeszów Główny - Świnoujście,Krzyż,Dokument/Y
107,2025-01-13,3530,Kraków Gł. - Olsztyn Gł.,Warka,Saszetka / Nerka
108,2025-01-13,1630,Warszawa Wsch. - Wrocław Gł.,Wrocław Główny,Książka
109,2025-01-13,6132,Zgorzelec - Warszawa Wsch.,Warszawa Wschodnia,Walizka / Plecak
110,2025-01-13,38102,Rzeszów Gł-Kołobrzeg,Toruń Gł,Saszetka / Nerka
111,2025-01-13,26100,Lublin Gł. - Wrocław Gł.,Kielce Główne,Sprzęt Elektroniczny
112,2025-01-13,16104,Białystok - Wrocław Gł.,Kalisz,Słuchawki
113,2025-01-13,9103,Łódź-Warszawa,Warszawa Olszynka Grochowska,Sprzęt Elektroniczny
115,2025-01-13,1528,Łódź Fabryczna - Gdynia Gł.,Bydgoszcz Główna,Reklamówka / Torba
116,2025-01-13,57104,Gdynia Gł. - Zielona Góra Gł.,Bydgoszcz Główna,Sprzęt Agd
117,2025-01-12,75102,Poznań Gł. - Olsztyn Gł.,Olsztyn Główny,Walizka / Plecak
118,2025-01-12,83102,Kołobrzeg - Rzeszów Główny,Rzeszów Główny,Reklamówka / Torba
119,2025-01-12,63100,Wrocław Gł. - Przemyśl Gł.,Przemyśl Główny,Reklamówka / Torba
120,2025-01-12,8315,Szczecin Gł-Przemyśl Gł,Przemyśl Bakńczyce,Walizka / Plecak
121,2025-01-12,41013,Wiedeń- Warszawa,Warszawa Olszynka Grochowska,Walizka / Plecak
122,2025-01-12,8120,Szczecin Gł. - Łódź Fabryczna,Środa Wielkopolska,Walizka / Plecak
123,2025-01-12,5602,,Wrocław Główny,Artykuły Dziecięce
124,2025-01-12,41013,Wieden -Warszawa,Warszawa Olszynka Grochowska,Reklamówka / Torba
125,2025-01-12,18104,Białystok - Szczecin Gł.,Sopot,Kosztowności
126,2025-01-12,5300,Gdynia Główna- Kraków Główny,Kraków Główny,Ubranie
127,2025-01-12,8111,Szczecin Gł. - Warszawa Wsch.,Warszawa Olszynka Grochowska,Reklamówka / Torba
128,2025-01-12,73005,Berlin Hbf- Kraków Główny,Kraków Główny,Ubranie
129,2025-01-12,51104,Gdynia Gł. - Łódź Fabryczna,Łódź Fabryczna,Ubranie
130,2025-01-12,3800,Kraków Gł. - Kołobrzeg,Kołobrzeg,Walizka / Plecak
131,2025-01-12,1328,Łódź Fabryczna- Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
132,2025-01-12,3150,Zakopane - Warszawa Wsch.,Zakopane,Dokument/Y
133,2025-01-12,46000,,Wrocław Główny,Ubranie
134,2025-01-12,83172,Świnoujście-Przemyśl,Przemyśl Bakończyce,Artykuły Muzyczne
135,2025-01-12,28160,Lublin Gł. - Szczecin Gł.,Szczecin Główny,Reklamówka / Torba
136,2025-01-12,7220,Poznań Gł. - Lublin Gł.,Tomaszów Mazowiecki,Walizka / Plecak
137,2025-01-12,6502,Wrocław Gł. - Olsztyn Gł.,Olsztyn Główny,Sprzęt Elektroniczny
138,2025-01-12,1102,Białystok - Łódź Fabryczna,Warszawa Wschodnia,Reklamówka / Torba
139,2025-01-12,3128,Kraków Gł. - Łódź Fabryczna,Piotrków Trybunalski,Walizka / Plecak
140,2025-01-12,3534,Kraków Gł. - Bydgoszcz Gł.,Solec Kujawski,Walizka / Plecak
141,2025-01-12,3532,Kraków Gł. - Olsztyn Gł.,Olsztyn Główny,Sprzęt Elektroniczny
142,2025-01-12,8306,Ustka - Przemyśl Gł.,Sędziszów Małopolski,Sprzęt Elektroniczny
143,2025-01-12,83100,Świnoujście - Rzeszów Główny,Lublin Główny,Reklamówka / Torba
144,2025-01-12,5122,Olsztyn Gł. - Łódź Fabryczna,Łódź Fabryczna,Ubranie
145,2025-01-12,61102,Wrocław Gł. - Warszawa Wsch.,Warszawa Wschodnia,Sprzęt Elektroniczny
146,2025-01-12,1622,Warszawa Wsch. - Wrocław Gł.,Łódź Widzew,Etui
147,2025-01-12,67104,Wrocław Gł. - Zielona Góra Gł.,Nowogród Osiedle,Rzeczy Osobiste
148,2025-01-12,6220,Wrocław Gł. - Kielce Główne,Włoszczowa,Kosztowności
149,2025-01-12,36106,Kraków Gł. - Jelenia Góra,Sędzisław,Walizka / Plecak
150,2025-01-12,31100,Zakopane - Warszawa Wsch.,Warszawa Wschodnia,Ubranie
151,2025-01-12,8304,Kołobrzeg - Kraków Gł.,Mysłowice,Reklamówka / Torba
152,2025-01-12,5300,Gdynia Gł. - Kraków Gł.,Kraków Główny,Reklamówka / Torba
153,2025-01-12,73107,Poznań Gł-Przemyśl Gł,Przemyśl Bakończyce,Telefon
154,2025-01-12,2520,Lublin Gł. - Bydgoszcz Gł.,Łowicz Główny,Sprzęt Elektroniczny
155,2025-01-12,5406,Gdynia Gł. - Bielsko-Biała Gł.,Zawiercie,Sprzęt Elektroniczny
156,2025-01-11,16104,,Wrocław Główny,Etui
157,2025-01-11,51102,Gdynia Gł. - Łódź Fabryczna,Łódź Fabryczna,Ubranie
158,2025-01-11,51106,Gdynia Gł. - Łódź Fabryczna,Żyrardów,Portfel
159,2025-01-11,35170,Krynica-Gdynia,Gdynia Leszczynki,Portfel
160,2025-01-11,18150,Łódź Kaliska - Kołobrzeg,Gdynia Główna,Sprzęt Elektroniczny
161,2025-01-11,8102,Szczecin Gł. - Warszawa Wsch.,Warszawa Wschodnia,Rzeczy Osobiste
162,2025-01-11,83102,Kołobrzeg - Rzeszów Główny,Puławy Miasto,Reklamówka / Torba
163,2025-01-11,5222,Bydgoszcz Gł. - Lublin Gł.,Warszawa Wschodnia,Ubranie
164,2025-01-11,3502,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Ubranie
165,2025-01-11,3722,Kraków Gł. - Poznań Gł.,Ostrów Wielkopolski,Rzeczy Osobiste
166,2025-01-11,7202,Zielona Góra -Lublin,Lublin,Portfel
167,2025-01-11,3524,Kraków Gł. - Olsztyn Gł.,Olsztyn Główny,Książka
168,2025-01-11,5620,Ełk - Wrocław Gł.,Wrocław Główny,Sprzęt Agd
169,2025-01-11,5400,Gdynia Gł. - Gliwice,Warszawa Zachodnia,Sprzęt Elektroniczny
170,2025-01-11,53170,Gdynia - Krynica Zdrój,Gdynia Leszczynki,Rzeczy Osobiste
171,2025-01-11,5302,Gdynia Główna - Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
172,2025-01-11,5300,Gdynia Główna - Kraków Główny,Kraków Główny,Reklamówka / Torba
173,2025-01-11,27100,Lublin-Poznań,Poznań Główny,Saszetka / Nerka
174,2025-01-11,63172,Wrocław Gł. - Przemyśl Gł.,Przemyśl Główny,Artykuły Medyczne
175,2025-01-11,262,Praha Hl. N. - Gdynia Gł.,Gdynia Główna,Ubranie
176,2025-01-11,58106,Olsztyn Gł. - Szczecin Gł.,Szczecin Główny,Rzeczy Osobiste
177,2025-01-11,6124,Wrocław Gł. - Białystok,Warszawa Centralna,Dokument/Y
178,2025-01-11,1522,Łódź Fabryczna - Olsztyn Gł.,Olsztyn Główny,Walizka / Plecak
180,2025-01-11,43009,Petrovice - Przemyśl Gł,Przemyśl Bakończyce,Reklamówka / Torba
181,2025-01-11,460,Praha Hl. N. - Gdynia Gł.,Wrocław Główny,Etui
182,2025-01-11,7322,Poznań Główny- Kraków Główny,Kraków Główny,Dokument/Y
183,2025-01-11,17100,Warszawa Wsch. - Zielona Góra Gł.,Zielona Góra Główna,Ubranie
184,2025-01-11,62104,Wrocław Gł-Lublin,Lublin,Dokument/Y
185,2025-01-11,5324,Olsztyn Główny- Kraków Główny,Kraków Główny,Reklamówka / Torba
186,2025-01-11,5424,Olsztyn Gł. - Racibórz,Racibórz,Ubranie
187,2025-01-11,5620,Ełk - Wrocław Gł.,Wrocław Główny,Reklamówka / Torba
188,2025-01-11,73000,Frankfurt- Przemyśl Gł,Przemyśl Bakńczyce,Reklamówka / Torba
189,2025-01-11,58106,Olsztyn Gł. - Szczecin Gł.,Szczecin Główny,Książka
18,2025-01-14,41005,Budapeszt-Warszawa,Warszawa Olszynka Grochowska,Sprzęt Elektroniczny
19,2025-01-14,3804,Kraków Gł. - Kołobrzeg,Oborniki Wielkopolskie Miasto,Ubranie
20,2025-01-14,61191,Jelenia Góra-Warszawa,Warszawa Olszynka Grochowska,Sprzęt Elektroniczny
22,2025-01-14,8304,Kołobrzeg - Kraków Gł.,Kraków Główny,Walizka / Plecak
63,2025-01-13,6520,Wrocław Gł. - Ełk,Tłuszcz,Walizka / Plecak
93,2025-01-12,115,Praha Hl. N. - Przemyśl Gł.,Brzesko-Okocim,Walizka / Plecak
95,2025-01-12,1322,Warszawa Wschodnia - Kraków Główny,Kraków Główny,Portfel
115,2025-01-12,83171,Kołobrzeg- Kraków Główny,Kraków Główny,Ubranie
119,2025-01-11,38104,Rzeszów Główny - Piła Gł.,Sochaczew,Sprzęt Agd
120,2025-01-11,58102,Olsztyn Gł. - Szczecin Gł.,Gdynia Główna,Ubranie
131,2025-01-11,1810,Warszawa Wsch. - Szczecin Gł.,Szczecin Główny,Walizka / Plecak
132,2025-01-11,83102,Kołobrzeg - Rzeszów Główny,Pilawa,Rzeczy Osobiste
134,2025-01-11,1632,Warszawa Wsch. - Zgorzelec,Częstochowa,Dokument/Y
138,2025-01-11,19134,Warszawa Wsch. - Łódź Fabryczna,Łódź Fabryczna,Walizka / Plecak
139,2025-01-11,13106,Warszawa Wsch. - Przemyśl Gł.,Przemyśl Główny,Ubranie
140,2025-01-11,5620,Ełk - Wrocław Gł.,Wrocław Nadodrze,Sprzęt Elektroniczny
143,2025-01-11,7320,Poznań Gł. - Kraków Gł.,Kraków Główny,Parasol
154,2025-01-11,1124,Terespol - Warszawa Zach.,Warszawa Zachodnia,Walizka / Plecak
158,2025-01-11,81104,Szczecin Gł. - Białystok,Koszalin,Dokument/Y
160,2025-01-11,5306,Gdynia Gł. - Kraków Gł.,Warszawa Zachodnia,Reklamówka / Torba
163,2025-01-10,,,Gdynia Leszczynki,Portfel
164,2025-01-10,73000,Berlin-Przemyśl Gł,Przemyśl Bakończyce,Telefon
165,2025-01-10,5304,Gdynia Główna- Kraków Główny,Kraków Główny,Ubranie
166,2025-01-10,5300,Gdynia Główna- Kraków Główny,Kraków Główny,Ubranie
167,2025-01-10,1304,Warszawa Wschodnia- Kraków Główny,Kraków Główny,Rzeczy Osobiste
168,2025-01-10,1634,,Wrocław Główny,Ubranie
169,2025-01-10,5300,Gdynia Główna- Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
170,2025-01-10,8322,Szczecin Gł. - Kraków Gł.,Kraków Główny,Walizka / Plecak
171,2025-01-10,,,Bydgoszcz Główna,Dokument/Y
172,2025-01-10,249,Berlin Gesundbrunnen - Warszawa Wsch.,Warszawa Wschodnia,Rzeczy Osobiste
173,2025-01-10,231,Berlin Gesundbrunnen - Gdynia Gł.,Gdynia Główna,Reklamówka / Torba
174,2025-01-10,5602,,Wrocław Główny,Etui
175,2025-01-10,15104,Łódź Fabryczna - Gdynia Gł.,Nowy Dwór Mazowiecki,Sprzęt Elektroniczny
176,2025-01-10,5306,Gdynia Główna - Kraków Główny,Kraków Główny,Artykuły Biurowe
177,2025-01-10,86100,Kołobrzeg - Wrocław Gł.,Wrocław Główny,Ubranie
178,2025-01-10,1634,,Wrocław Główny,Rzeczy Osobiste
179,2025-01-10,81104,Szczecin Gł. - Białystok,Szczytno,Reklamówka / Torba
180,2025-01-10,86100,Kołobrzeg - Wrocław Gł.,Wrocław Główny,Książka
181,2025-01-10,6120,Wrocław Gł. - Warszawa Wsch.,Warszawa Wschodnia,Rzeczy Osobiste
182,2025-01-10,22100,Hrubieszów Miasto - Lublin Gł.,Hrubieszów Miasto,Kosztowności
183,2025-01-10,3858,Przemyśl Gł. - Świnoujście,Kostrzyn,Telefon
186,2025-01-13,3500,Kraków Gł. - Gdynia Gł.,Gdynia Główna,Walizka / Plecak
187,2025-01-10,3812,Przemyśl Gł. - Słupsk,Szczecinek,Sprzęt Elektroniczny
188,2025-01-10,3504,Kraków Gł. - Gdynia Gł.,Tczew,Rzeczy Osobiste
189,2025-01-10,51106,Gdynia Gł. - Łódź Fabryczna,Łódź Fabryczna,Walizka / Plecak
190,2025-01-10,65100,Jelenia Góra - Gdynia Gł.,Gdynia Główna,Sprzęt Elektroniczny
191,2025-01-10,3508,Rzeszów Główny - Gdynia Gł.,Gdańsk Oliwa,Sprzęt Elektroniczny
192,2025-01-10,18114,Łódź Fabryczna - Kołobrzeg,Mława Miasto,Walizka / Plecak
193,2025-01-10,72100,Poznań Głowny-Lublin,Lublin,Artykuły Biurowe
194,2025-01-10,84100,Słupsk - Katowice,Rawicz,Sprzęt Elektroniczny
195,2025-01-10,38110,Kraków Gł. - Kołobrzeg,Piła Główna,Artykuły Biurowe
196,2025-01-10,16104,Białystok - Wrocław Gł.,Oleśnica Rataje,Portfel
197,2025-01-10,5324,Olsztyn Główny - Kraków Główny,Kraków Główny,Sprzęt Elektroniczny
198,2025-01-10,3534,Kraków Gł. - Bydgoszcz Gł.,Zgierz,Sprzęt Agd
199,2025-01-10,5424,Olsztyn Gł. - Racibórz,Racibórz,Walizka / Plecak
200,2025-01-10,6128,Wrocław Gł. - Białystok,Białystok,Reklamówka / Torba
201,2025-01-10,61107,Wrocław Gł. - Białystok,Białystok,Parasol
202,2025-01-10,51106,Gdynia Gl - Łódź Fabryczna,Lodz Fabryczna,Walizka / Plecak
203,2025-01-10,14010,"Bohumin -Warszawa-,, Szopen,,",Warszawa Olszynka Grochowska,Telefon
204,2025-01-10,1104,Bialystok - Łódź,Lodz Fabryczna,Walizka / Plecak
205,2025-01-10,3510,Kraków Gł. - Gdynia Gł.,Warszawa Wschodnia,Rzeczy Osobiste
206,2025-01-10,5310,Gdynia Gł. - Kraków Gł.,Warszawa Zachodnia,Akcesoria Dla Zwierząt
207,2025-01-10,5220,Bydgoszcz Gł. - Lublin Gł.,Warszawa Centralna,Rzeczy Osobiste
208,2025-01-14,1424,Płock - Katowice,Łódź Kaliska,Reklamówka / Torba
209,2025-01-14,1424,Płock - Katowice,Łódź Kaliska,Walizka / Plecak
210,2025-01-13,6125,Wrocław Gł.-Białystok,Białystok,Portfel
211,2025-01-13,8322,Szczecin Gł. - Kraków Gł.,Włoszczowa Północ,Reklamówka / Torba
212,2025-01-13,3532,Kraków Gł,Olsztyn Główny,Saszetka / Nerka
213,2025-01-13,5328,Olsztyn Gł. - Kraków Gł.,Kielce Główne,Walizka / Plecak
214,2025-01-13,30108,Zakopane - Kraków Gł.,Kraków Główny,Walizka / Plecak
215,2025-01-13,4508,Gliwice - Gdynia Gł.,Warszawa Wschodnia,Walizka / Plecak
216,2025-01-13,38102,Rzeszów Główny - Kołobrzeg,Toruń Główny,Saszetka / Nerka
217,2025-01-13,41,Berlin Gesundbrunnen - Warszawa Wsch.,Poznań Główny,Saszetka / Nerka
218,2025-01-13,38108,Zakopane - Szczecin Gł.,Szczecin Główny,Walizka / Plecak
219,2025-01-13,3530,Kraków Gł. - Olsztyn Gł.,Olsztyn Główny,Reklamówka / Torba
220,2025-01-13,31102,Kraków Gł. - Warszawa Wsch.,Warszawa Wschodnia,Książka
221,2025-01-12,81150,Kołobrzeg - Łódź Kaliska,Tczew,Etui
222,2025-01-12,59,Berlin Gesundbrunnen - Przemyśl Gł.,Kraków Główny,Reklamówka / Torba
223,2025-01-10,1634,,Wrocław Główny,Artykuły Muzyczne
224,2025-01-10,58100,Gdańsk Główny - Szczecin Główny,Szczecin Główny,Portfel
225,2025-01-10,45100,Katowice-Gdynia,Gdynia Leszczynki,Walizka / Plecak
226,2025-01-10,3530,Kraków Gł. - Olsztyn Gł.,Olsztyn Główny,Artykuły Spożywcze
227,2025-01-10,56102,,Wrocław Główny,Reklamówka / Torba
228,2025-01-10,65102,Wrocław Gł. - Olsztyn Gł.,Olsztyn Główny,Ubranie
229,2025-01-10,8320,Szczecin Gł. - Kraków Gł.,Łódź Kaliska,Walizka / Plecak
230,2025-01-10,23104,Lublin - Kraków,Kraków Główny,Ubranie
231,2025-01-10,70108,Poznań Gł. - Zielona Góra Gł.,Zielona Góra Główna,Ubranie
232,2025-01-13,83192,Szczecin Gł. - Zakopane,Szczecin Dąbie,Rzeczy Osobiste
233,2025-01-12,3822,Kraków Gł. - Szczecin Gł.,Szczecin Główny,Reklamówka / Torba
234,2025-01-10,8312,Słupsk - Przemyśl Gł.,Przemyśl Główny,Portfel
235,2025-01-10,85106,Szczecin-Olsztyn,Olsztyn Główny,Artykuły Muzyczne
236,2025-01-10,75102,Poznan-Olsztyn,Olsztyn Główny,Telefon
237,2025-01-10,38108,Zakopane - Szczecin Gł.,Gdynia Główna,Reklamówka / Torba
238,2025-01-13,407.0,Warszawa Wsch. - München Hbf,Oświęcim,Dokument/Y
239,2025-01-13,73002.0,Frankfurt-Przemyśl.Gł,Przemyśl Bakończyce,Sprzęt Elektroniczny
240,2025-01-13,4508.0,Gliwice - Gdynia Gł.,Warszawa Wschodnia,Walizka / Plecak
241,2025-01-13,1528.0,Łódź Fabryczna - Gdynia Gł.,Bydgoszcz Główna,Reklamówka / Torba
242,2025-01-13,38100.0,Rzeszów Główny - Świnoujście,Krzyż,Dokument/Y
243,2025-01-13,6132.0,Zgorzelec - Warszawa Wsch.,Warszawa Wschodnia,Walizka / Plecak
